genres,keywords,original_language,overview,tagline,title,vote_average,combined_text
Comedy,"hotel mom, romantic comedy, lying, living with parents, pretend relationship",en,"Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.","To leave the nest, some men just need a little push.",Failure to Launch,5.5,"Failure to Launch Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result. To leave the nest, some men just need a little push. Comedy hotel mom, romantic comedy, lying, living with parents, pretend relationship"
"Action, Adventure, Comedy, Crime","sex, terrorist, beach, nudity, police, parody, attack, shootout, mockumentary, explosion, drug",en,A rag-tag team of Reno cops are called in to save the day after a terrorist attack disrupts a national police convention in Miami Beach during spring break. Based on the Comedy Central series.,"In a time of crisis, America will call Reno 911!",Reno 911!: Miami,5.6,"Reno 911!: Miami A rag-tag team of Reno cops are called in to save the day after a terrorist attack disrupts a national police convention in Miami Beach during spring break. Based on the Comedy Central series. In a time of crisis, America will call Reno 911! Action, Adventure, Comedy, Crime sex, terrorist, beach, nudity, police, parody, attack, shootout, mockumentary, explosion, drug"
"Adventure, Family","island, ship, pirate, sailor, cabin boy, 19th century",en,A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.,,Shipwrecked,6.1,"Shipwrecked A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.  Adventure, Family island, ship, pirate, sailor, cabin boy, 19th century"
"Action, Adventure, Drama, Romance","camelot, knight, king arthur, excalibur, knights of the round table",en,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",Their greatest battle would be for her love.,First Knight,5.9,"First Knight The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love. Their greatest battle would be for her love. Action, Adventure, Drama, Romance camelot, knight, king arthur, excalibur, knights of the round table"
"Horror, Fantasy",,en,"In a world of fake castles and anthropomorphic rodents, an epic battle begins when an unemployed father's sanity is challenged by a chance encounter with two underage girls on holiday.",Bad things happen everywhere.,Escape from Tomorrow,4.8,"Escape from Tomorrow In a world of fake castles and anthropomorphic rodents, an epic battle begins when an unemployed father's sanity is challenged by a chance encounter with two underage girls on holiday. Bad things happen everywhere. Horror, Fantasy "
Drama,biography,en,The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African American college students into an historical powerhouse that took on the Harvard elite.,"When the nation was in need, he inspired them to give us hope.",The Great Debaters,6.9,"The Great Debaters The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African American college students into an historical powerhouse that took on the Harvard elite. When the nation was in need, he inspired them to give us hope. Drama biography"
"Action, Comedy, Crime","california, showdown, undercover, strip club, investigation, weapon, police, smuggling, swimming pool, gunfight, mansion, los angeles, foot chase, art gallery, car chase, warehouse, beverly hills, buddy comedy, country club, maverick cop, detroit michigan, damsel in distress, bar fight",en,"Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder. But soon, he realizes he's stumbled onto something much more complicated. Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.",The Heat Is On!,Beverly Hills Cop,6.8,"Beverly Hills Cop Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder. But soon, he realizes he's stumbled onto something much more complicated. Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes. The Heat Is On! Action, Comedy, Crime california, showdown, undercover, strip club, investigation, weapon, police, smuggling, swimming pool, gunfight, mansion, los angeles, foot chase, art gallery, car chase, warehouse, beverly hills, buddy comedy, country club, maverick cop, detroit michigan, damsel in distress, bar fight"
"Adventure, Fantasy, Action, Comedy, Family","museum, theodore roosevelt, duringcreditsstinger, amelia earhart, smithsonian",en,"Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.",When the lights go off the battle is on.,Night at the Museum: Battle of the Smithsonian,5.9,"Night at the Museum: Battle of the Smithsonian Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible. When the lights go off the battle is on. Adventure, Fantasy, Action, Comedy, Family museum, theodore roosevelt, duringcreditsstinger, amelia earhart, smithsonian"
"Drama, Music","journalist, musical, concert, independent film",en,"Amidst unrest, organizers put on a benefit concert.",Would you reach out your hand to save a drowning man if you thought he might pull you in?,Masked and Anonymous,5.2,"Masked and Anonymous Amidst unrest, organizers put on a benefit concert. Would you reach out your hand to save a drowning man if you thought he might pull you in? Drama, Music journalist, musical, concert, independent film"
"Drama, Horror, Mystery","based on novel, small town, dream, motel, hallucination, bridge, alien life-form, warning, tumor, west virginia, urban legend, premonition, telephone call, hospital, reporter, psychic, car wreck, death of wife, mothman, mysterious events, chemical plant",en,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,What do you see?,The Mothman Prophecies,6.1,"The Mothman Prophecies Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions. What do you see? Drama, Horror, Mystery based on novel, small town, dream, motel, hallucination, bridge, alien life-form, warning, tumor, west virginia, urban legend, premonition, telephone call, hospital, reporter, psychic, car wreck, death of wife, mothman, mysterious events, chemical plant"
"Crime, Drama, Thriller","corruption, capitalism, winter, american dream, immigrant, business ethics, truck, oil, lawyer, new york city, loan shark, coat, tunnel, 1980s, husband wife relationship, truck hijacking, bank loan",en,"A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on a the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built.",The result is never in question. Just the path you take to get there.,A Most Violent Year,6.5,"A Most Violent Year A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on a the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built. The result is never in question. Just the path you take to get there. Crime, Drama, Thriller corruption, capitalism, winter, american dream, immigrant, business ethics, truck, oil, lawyer, new york city, loan shark, coat, tunnel, 1980s, husband wife relationship, truck hijacking, bank loan"
"Thriller, Crime, Drama, Mystery",biography,en,A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into California. Based on the true story of journalist Gary Webb.,Can you keep a national secret?,Kill the Messenger,6.6,"Kill the Messenger A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into California. Based on the true story of journalist Gary Webb. Can you keep a national secret? Thriller, Crime, Drama, Mystery biography"
"Crime, Drama, Thriller","journalism, underground, tv station, sociopath, home invasion, car chase, tv news, employer employee relationship, ethics, stringer",en,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",The city shines brightest at night,Nightcrawler,7.6,"Nightcrawler When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran. The city shines brightest at night Crime, Drama, Thriller journalism, underground, tv station, sociopath, home invasion, car chase, tv news, employer employee relationship, ethics, stringer"
"Romance, Drama","monaco, prince",en,"The story of former Hollywood star Grace Kelly's crisis of marriage and identity, during a political dispute between Monaco's Prince Rainier III and France's Charles De Gaulle, and a looming French invasion of Monaco in the early 1960s.",,Grace of Monaco,5.8,"Grace of Monaco The story of former Hollywood star Grace Kelly's crisis of marriage and identity, during a political dispute between Monaco's Prince Rainier III and France's Charles De Gaulle, and a looming French invasion of Monaco in the early 1960s.  Romance, Drama monaco, prince"
"Comedy, Action, Drama","bomb, gun, drug dealer, costume, comic book, party, superhero, dark comedy, gore, blood, comic book shop, comic book collector, dinner, violence, police officer, cosplay, duringcreditsstinger",en,"After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, though he lacks for heroic skills.","Shut up, crime!",Super,6.6,"Super After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, though he lacks for heroic skills. Shut up, crime! Comedy, Action, Drama bomb, gun, drug dealer, costume, comic book, party, superhero, dark comedy, gore, blood, comic book shop, comic book collector, dinner, violence, police officer, cosplay, duringcreditsstinger"
"Drama, Romance","coma, amnesia, based on true story, memory loss, car accident, romantic drama",en,"Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage.",,The Vow,7.0,"The Vow Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage.  Drama, Romance coma, amnesia, based on true story, memory loss, car accident, romantic drama"
"Horror, Thriller","hotel, isolation, hotelier, colorado, maze, bartender, ax, delusion, loneliness, caretaker, vision, snow, writer, alcoholic, snowed in, off season",en,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",A masterpiece of modern horror.,The Shining,8.1,"The Shining Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within. A masterpiece of modern horror. Horror, Thriller hotel, isolation, hotelier, colorado, maze, bartender, ax, delusion, loneliness, caretaker, vision, snow, writer, alcoholic, snowed in, off season"
"Thriller, Action","revenge, murder, on the run, fugitive, framed, father daughter relationship, framed for murder",en,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",It Ends Here,Taken 3,6.1,"Taken 3 Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice. It Ends Here Thriller, Action revenge, murder, on the run, fugitive, framed, father daughter relationship, framed for murder"
"Comedy, Romance","london england, lovesickness, thailand, clumsy fellow, to drop brick, capture, woman director",en,"Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, a strange contractor and the worst vacation of her life.",Same Bridget. Brand new diary.,Bridget Jones: The Edge of Reason,6.1,"Bridget Jones: The Edge of Reason Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, a strange contractor and the worst vacation of her life. Same Bridget. Brand new diary. Comedy, Romance london england, lovesickness, thailand, clumsy fellow, to drop brick, capture, woman director"
"Adventure, Drama, War","brother brother relationship, adultery, mythology, beauty, trojan war, bravery, wall, fraud, hostility, epic, sword fight, battlefield, ancient world, pyre, ancient greece, trojan horse, trojan, bronze age, sparta greece, helen of troy, homer's iliad",en,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",For passion. For honor. For destiny. For victory. For love.,Troy,6.9,"Troy In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans. For passion. For honor. For destiny. For victory. For love. Adventure, Drama, War brother brother relationship, adultery, mythology, beauty, trojan war, bravery, wall, fraud, hostility, epic, sword fight, battlefield, ancient world, pyre, ancient greece, trojan horse, trojan, bronze age, sparta greece, helen of troy, homer's iliad"
"Comedy, Drama, Romance","african american, single mother, fiancé fiancée relationship, corporation, rich man - poor woman",en,"Businessman Wesley Deeds is jolted out of his scripted life when he meets Lindsey, a single mother who works on the cleaning crew in his office building.",Wesley Deeds is About to Discover the Person He Was Meant to Be.,Good Deeds,6.2,"Good Deeds Businessman Wesley Deeds is jolted out of his scripted life when he meets Lindsey, a single mother who works on the cleaning crew in his office building. Wesley Deeds is About to Discover the Person He Was Meant to Be. Comedy, Drama, Romance african american, single mother, fiancé fiancée relationship, corporation, rich man - poor woman"
"Western, Drama, Adventure, Thriller","father son relationship, rape, based on novel, mountains, winter, grizzly bear, wilderness, frontier, revenge, murder, native american, survival, bear, snow, violence, animal death, bear attack, death of son, based on true events, fur trapper",en,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.","(n. One who has returned, as if from the dead.)",The Revenant,7.3,"The Revenant In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling. (n. One who has returned, as if from the dead.) Western, Drama, Adventure, Thriller father son relationship, rape, based on novel, mountains, winter, grizzly bear, wilderness, frontier, revenge, murder, native american, survival, bear, snow, violence, animal death, bear attack, death of son, based on true events, fur trapper"
"Adventure, Drama, Science Fiction","space marine, sunlight, plants, space travel, saturn, biotope, greenhouse, dystopia, space, food, robot, space station",en,"In a future Earth barren of all flora and fauna, the planet's ecosystems exist only in large pods attached to spacecraft. When word comes in that the pods are to be jettisoned into space and destroyed so that the spacecraft can be reused for commercial purposes, most of the crew of the Valley Forge rejoice at the prospect of going home. Not so for botanist Freeman Lowell who loves the forest and its creatures, so decides to take matters into his own hands to protect what he loves.",Amazing companions on an incredible journey...that journeys beyond imagination!,Silent Running,6.3,"Silent Running In a future Earth barren of all flora and fauna, the planet's ecosystems exist only in large pods attached to spacecraft. When word comes in that the pods are to be jettisoned into space and destroyed so that the spacecraft can be reused for commercial purposes, most of the crew of the Valley Forge rejoice at the prospect of going home. Not so for botanist Freeman Lowell who loves the forest and its creatures, so decides to take matters into his own hands to protect what he loves. Amazing companions on an incredible journey...that journeys beyond imagination! Adventure, Drama, Science Fiction space marine, sunlight, plants, space travel, saturn, biotope, greenhouse, dystopia, space, food, robot, space station"
"Action, Drama, History","siege, epic, beijing",en,"Diplomats, soldiers and other representatives of a dozen nations fend off the siege of the International Compound in Peking during the 1900 Boxer Rebellion. The disparate interests unite for survival despite competing factions, overwhelming odds, delayed relief and tacit support of the Boxers by the Empress of China and her generals.",A handful of men and women held out against the frenzied hordes of bloodthirsty fanatics!,55 Days at Peking,6.3,"55 Days at Peking Diplomats, soldiers and other representatives of a dozen nations fend off the siege of the International Compound in Peking during the 1900 Boxer Rebellion. The disparate interests unite for survival despite competing factions, overwhelming odds, delayed relief and tacit support of the Boxers by the Empress of China and her generals. A handful of men and women held out against the frenzied hordes of bloodthirsty fanatics! Action, Drama, History siege, epic, beijing"
"Action, Drama, Horror, Science Fiction, Thriller","dystopia, apocalypse, zombie, nuclear weapons, multiple perspectives, zombie apocalypse",en,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",Remember Philly!,World War Z,6.7,"World War Z Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls. Remember Philly! Action, Drama, Horror, Science Fiction, Thriller dystopia, apocalypse, zombie, nuclear weapons, multiple perspectives, zombie apocalypse"
"Comedy, Drama, Romance","holiday, christmas",en,"An uptight, conservative, businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",Feel The Love,The Family Stone,6.2,"The Family Stone An uptight, conservative, businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life. Feel The Love Comedy, Drama, Romance holiday, christmas"
"Thriller, Drama, Adventure, Action, History","suicide, ocean, sea, hunger, shipwreck, ship, whale, based on true story, stranded, survival, whaling, death, new england, lost at sea, based on true events, whaling ship, starvation, 19th century, cannibalism, reference to moby dick, whale oil, nantucket",en,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melville’s Moby Dick.  But that told only half the story.  “Heart of the Sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.",Based on the incredible true story that inspired Moby Dick,In the Heart of the Sea,6.5,"In the Heart of the Sea In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melville’s Moby Dick.  But that told only half the story.  “Heart of the Sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down. Based on the incredible true story that inspired Moby Dick Thriller, Drama, Adventure, Action, History suicide, ocean, sea, hunger, shipwreck, ship, whale, based on true story, stranded, survival, whaling, death, new england, lost at sea, based on true events, whaling ship, starvation, 19th century, cannibalism, reference to moby dick, whale oil, nantucket"
"Adventure, Comedy, Family, Science Fiction","railroad robber, california, delorean, indian territory, sports car, inventor, locomotive, saloon, horseback riding, time travel, outlaw, sequel, mad scientist, native american, western, shootout, gunfight, train, wild west, cavalry",en,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",They've saved the best trip for last... But this time they may have gone too far.,Back to the Future Part III,7.1,"Back to the Future Part III The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen. They've saved the best trip for last... But this time they may have gone too far. Adventure, Comedy, Family, Science Fiction railroad robber, california, delorean, indian territory, sports car, inventor, locomotive, saloon, horseback riding, time travel, outlaw, sequel, mad scientist, native american, western, shootout, gunfight, train, wild west, cavalry"
"Adventure, Animation, Comedy, Family, Fantasy","central and south america, birthday, emperor, palace, kingdom, berater, llama",en,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",It's All About.....ME!,The Emperor's New Groove,7.2,"The Emperor's New Groove Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership. It's All About.....ME! Adventure, Animation, Comedy, Family, Fantasy central and south america, birthday, emperor, palace, kingdom, berater, llama"
"Comedy, Family, Drama","clown, golden retriever, dog actor",en,"A young boy and a talented stray dog with an amazing basketball playing ability become instant friends. Rebounding from his father's accidental death, 12-year-old Josh Framm moves with his family to the small town of Fernfield, Washington. The new kid in town, Josh has no friends and is too shy to try out for the school basketball team. Instead he prefers to practice alone on an abandoned court, he befriends a runaway golden retriever named Buddy. Josh is amazed when he realizes that Buddy loves basketball...that is playing basketball...and he is GOOD! Josh eventually makes the school team and Buddy is named the Team Mascot. Josh and Buddy become the stars of halftime. Buddy's half-time talent draws media attention. Unfortunately, when Buddy's mean former owner, Norm Snively, comes along with a scheme to cash in on the pup's celebrity, it looks like they are going to be separated.",He Sits. He Stays. He Shoots. He Scores.,Air Bud,5.3,"Air Bud A young boy and a talented stray dog with an amazing basketball playing ability become instant friends. Rebounding from his father's accidental death, 12-year-old Josh Framm moves with his family to the small town of Fernfield, Washington. The new kid in town, Josh has no friends and is too shy to try out for the school basketball team. Instead he prefers to practice alone on an abandoned court, he befriends a runaway golden retriever named Buddy. Josh is amazed when he realizes that Buddy loves basketball...that is playing basketball...and he is GOOD! Josh eventually makes the school team and Buddy is named the Team Mascot. Josh and Buddy become the stars of halftime. Buddy's half-time talent draws media attention. Unfortunately, when Buddy's mean former owner, Norm Snively, comes along with a scheme to cash in on the pup's celebrity, it looks like they are going to be separated. He Sits. He Stays. He Shoots. He Scores. Comedy, Family, Drama clown, golden retriever, dog actor"
Comedy,"fish, aquarium, carnival, house, callboy, vacation, illegal prostitution",en,"Deuce Bigalow is a less than attractive, down on his luck aquarium cleaner. One day he wrecks the house of a gigolo and needs quick money to repair it. The only way he can make it is to become a gigolo himself, taking on an unusual mix of female clients. He encounters a couple of problems, though. He falls in love with one of his unusual clients, and a sleazy police officer is hot on his trail.",He charges $10 but he’s willing to negotiate.,Deuce Bigalow: Male Gigolo,5.5,"Deuce Bigalow: Male Gigolo Deuce Bigalow is a less than attractive, down on his luck aquarium cleaner. One day he wrecks the house of a gigolo and needs quick money to repair it. The only way he can make it is to become a gigolo himself, taking on an unusual mix of female clients. He encounters a couple of problems, though. He falls in love with one of his unusual clients, and a sleazy police officer is hot on his trail. He charges $10 but he’s willing to negotiate. Comedy fish, aquarium, carnival, house, callboy, vacation, illegal prostitution"
"Comedy, Drama, Romance",independent film,en,"Beautiful, sophisticated women are all over Oscar Grubman. He is sensitive and compassionate, speaks French fluently, is passionate about Voltaire, and thinks the feature that tells the most about a woman is her hands. On the train home from Chauncey Academy for the Thanksgiving weekend, Oscar confides in his best friend that he has plans for this vacation--he will win the heart of his true love. But there is one major problem--Oscar's true love is his stepmother Eve. Oscar is certain that he could be a better mate to Eve than his work-obsessed father. He fails to win Eve's heart and is consequently dejected. Oscar's path to his true love is further crossed by Diane, Eve's best friend who, one night while wearing Eve's borrowed perfumed scarf, offers him temporary comfort in an unconventional tryst. For Diane, Oscar fills a void in her life. For Oscar, Diane is somewhat of a distraction, as his continued pursuit of Eve leads to an unexpected resolution.",Everyone says he should date girls his own age. Oscar respectfully disagrees.,Tadpole,5.5,"Tadpole Beautiful, sophisticated women are all over Oscar Grubman. He is sensitive and compassionate, speaks French fluently, is passionate about Voltaire, and thinks the feature that tells the most about a woman is her hands. On the train home from Chauncey Academy for the Thanksgiving weekend, Oscar confides in his best friend that he has plans for this vacation--he will win the heart of his true love. But there is one major problem--Oscar's true love is his stepmother Eve. Oscar is certain that he could be a better mate to Eve than his work-obsessed father. He fails to win Eve's heart and is consequently dejected. Oscar's path to his true love is further crossed by Diane, Eve's best friend who, one night while wearing Eve's borrowed perfumed scarf, offers him temporary comfort in an unconventional tryst. For Diane, Oscar fills a void in her life. For Oscar, Diane is somewhat of a distraction, as his continued pursuit of Eve leads to an unexpected resolution. Everyone says he should date girls his own age. Oscar respectfully disagrees. Comedy, Drama, Romance independent film"
"Action, Crime, Drama, Thriller","assertion, investigation, internal affairs, narcotics cop",en,"An undercover narc dies, the investigation stalls, so the Detroit P.D. brings back Nick Tellis, fired 18-months ago when a stray bullet hits a pregnant woman. Tellis teams with Henry Oak, a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs. They follow leads and informants turn up dead.",,Narc,6.8,"Narc An undercover narc dies, the investigation stalls, so the Detroit P.D. brings back Nick Tellis, fired 18-months ago when a stray bullet hits a pregnant woman. Tellis teams with Henry Oak, a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs. They follow leads and informants turn up dead.  Action, Crime, Drama, Thriller assertion, investigation, internal affairs, narcotics cop"
"Adventure, Action, Thriller, Crime, Mystery","chicago, showdown, undercover, surgeon, death sentence, doomed man, lethal injection, chase, remake, betrayal, on the run, train crash, escape, fugitive, based on tv series, u.s. marshal, doctor, explosion, home invasion, disguise, one armed man, framed for murder, flashback, corrupt cop, manhunt, bus accident, storm drain",en,"Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.",A murdered wife. A one-armed man. An obsessed detective. The chase begins.,The Fugitive,7.2,"The Fugitive Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late. A murdered wife. A one-armed man. An obsessed detective. The chase begins. Adventure, Action, Thriller, Crime, Mystery chicago, showdown, undercover, surgeon, death sentence, doomed man, lethal injection, chase, remake, betrayal, on the run, train crash, escape, fugitive, based on tv series, u.s. marshal, doctor, explosion, home invasion, disguise, one armed man, framed for murder, flashback, corrupt cop, manhunt, bus accident, storm drain"
"Drama, Romance","wife husband relationship, biography, physicist, based on memoir, stephen hawking, fictionalized biography, motor neuron disease, als",en,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",His Mind Changed Our World. Her Love Changed His.,The Theory of Everything,7.8,"The Theory of Everything The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde. His Mind Changed Our World. Her Love Changed His. Drama, Romance wife husband relationship, biography, physicist, based on memoir, stephen hawking, fictionalized biography, motor neuron disease, als"
